m4__min,m4__d,m3_ΔCp,m2_θchar,m4_d,m4__Tchar,m3_Tchar,m4_ΔCp,m2_d,m3_min,m3_θchar,m1_θchar,m3_d,m1_Tchar,m1_ΔCp,m4_θchar,m4__ΔCp,m4_min,m2_ΔCp,m4__θchar,Substance,m2_min,m2_Tchar,m4_Tchar,m1_min
0.013558840956756755,0.0002487625958968053,84.55705072427081,33.468856040336746,0.0002487624502163787,399.45336636587973,399.71656557653347,79.58907683103396,0.0002488604347613017,0.04191422758730562,33.72880956240901,33.915991686075905,0.000249027113075568,400.15451181192924,85.18420897930848,33.4297390314021,79.5811222675631,0.013564010416396969,80.05559163444268,33.42932792547031,2-Octanone,0.013673448421231771,399.5094164446477,399.45346942083575,0.016425498802806564
0.008949057969909588,0.0002487625958968053,84.07678017978132,35.37093239991578,0.0002487624502163787,403.96050081851985,404.0853852051998,84.17811227323416,0.0002488604347613017,0.04191422758730562,35.37372077246918,35.84615450480196,0.000249027113075568,404.6954971407772,89.15759798463799,35.32879123030175,84.1841490188617,0.008945762717646544,84.6064121019429,35.329133092610085,4-Fluoroaniline,0.008793309691198545,404.01895796890125,403.9602123158795,0.00904902935407314
0.006552246816750236,0.0002487625958968053,85.3678195227159,36.95972320234312,0.0002487624502163787,424.36537903805987,424.47626923189046,85.36133022644307,0.0002488604347613017,0.04191422758730562,36.955933524128035,37.443629626223775,0.000249027113075568,425.13296290930606,89.902901899502,36.917806967481994,85.36658676393,0.006538912995949673,85.73515864996455,36.91824124929594,"2,6-Dimethylphenol",0.0066595536899894375,424.4259997319665,424.36499439778805,0.009502703384986239
0.02046824922468871,0.0002487625958968053,92.07628128284382,34.278755401323515,0.0002487624502163787,414.17302471181836,414.20426494506125,94.82837029968744,0.0002488604347613017,0.04191422758730562,34.13555788108376,34.733233850726215,0.000249027113075568,414.88923752554336,100.08618291435208,34.24111426422071,94.80917933333801,0.02043642366640089,95.22989342225124,34.240269148366096,Octan-1-ol,0.020189310942943486,414.2293428908599,414.1732810463524,0.01868719679397616
0.014124947377700198,0.0002487625958968053,73.51019914585866,37.00211737067793,0.0002487624502163787,407.9839610560271,408.3560661720028,66.20785666913781,0.0002488604347613017,0.04191422758730562,37.4799485108371,37.48973537650894,0.000249027113075568,408.7503560126275,70.72589907050444,36.96022948954394,66.22222470051733,0.014128563856267182,66.57187176471524,36.96140917835837,"1,3-Dichlorobenzene",0.014049175750078857,408.04399718409536,407.98314675933955,0.014423474919738163
0.005433387368838943,0.0002487625958968053,73.89638148307226,35.10585234162762,0.0002487624502163787,383.93055686028333,384.16215991256297,69.02359257648129,0.0002488604347613017,0.04191422758730562,35.36018943398969,35.591258807740516,0.000249027113075568,384.65670853378845,74.3096771391279,35.06402764548815,69.03113470539962,0.005457024860412403,69.45944951148475,35.06433968477133,Cyclohexanone,0.005355021420098431,383.9878101183773,383.9304459721112,0.004959859460996351
0.01523656968790664,0.0002487625958968053,97.12061487265709,35.08947495559132,0.0002487624502163787,415.1409867212819,414.9341221940479,107.70348309055163,0.0002488604347613017,0.04191422758730562,34.50956534392704,35.566069510217844,0.000249027113075568,415.87010007265764,112.79686941803327,35.048969611021505,107.76035577929173,0.015233014408645067,108.11341635293758,35.052417169198,4-Methylphenol,0.014948332511122986,415.19635378250405,415.13881524597684,0.01324506364770778
0.006867125909249637,0.0002487625958968053,79.09864489392062,35.636120707476806,0.0002487624502163787,399.95764692830903,400.1790084444313,75.8284046885902,0.0002488604347613017,0.04191422758730562,35.83196955131967,36.11663786047535,0.000249027113075568,400.6974276455675,80.76390537079911,35.59495895318166,75.83515666248472,0.007230914129968894,76.22672214748464,35.5953608189767,Aniline,0.006882160286649536,400.0160282240636,399.95739629948366,0.003941215926202397
0.015215854158559469,0.0002487625958968053,76.81380020886189,36.09118332364175,0.0002487624502163787,415.49353653127946,415.7898968253926,70.27799557206617,0.0002488604347613017,0.04191422758730562,36.46324496531533,36.551387201134034,0.000249027113075568,416.2428873642382,74.94999838841092,36.04711754202707,70.2712510546664,0.015283714682495212,70.72555357840997,36.04659811660477,n-Butylbenzene,0.015324621947160649,415.5555955709988,415.4939264587605,0.017075518491686502
0.011187493183821453,0.0002487625958968053,87.64813258719,34.49434573531395,0.0002487624502163787,418.3059840016571,418.56505331186423,83.28324985531901,0.0002488604347613017,0.04191422758730562,34.73889884081869,34.94261126229671,0.000249027113075568,419.0283983649752,88.48414663721972,34.45585681289678,83.29082318272873,0.011183622351774768,83.70533871896397,34.45620240048958,Nonan-2-one,0.011554193540288726,418.36304543706535,418.3058394501188,0.017606792427097024
0.022534907845346376,0.0002487625958968053,83.4746283352943,37.64507349101175,0.0002487624502163787,430.11705999273005,430.37010840957413,80.33497067830173,0.0002488604347613017,0.04191422758730562,37.86600448931167,38.132986716636495,0.000249027113075568,430.8987570157134,84.73505392262668,37.60306944784731,80.3431142720363,0.022414144106157136,80.69300582227694,37.60365965502081,1-Phenyl-2-propanol,0.023253915058284502,430.17869163980674,430.11664969474043,0.03319446908624794
0.0046217815482322054,0.0002487625958968053,77.48233727043336,31.368160859344073,0.0002487624502163787,374.1180266253499,374.1963182913564,82.03286850022604,0.0002488604347613017,0.04191422758730562,31.239419694024058,31.805305845023693,0.000249027113075568,374.76999808932516,88.78134699767969,31.33082281840788,82.02043802217375,0.004623592111685474,82.58143177042736,31.330393078802178,Hexan-1-ol,0.0047033150999471335,374.16956621500844,374.11817628277953,0.0057788667727128465
